GeneID	Length	MR1_expression	MR2_expression	KLA1_expression	KLA2_expression	logFC	Pvalue	FDR
MSTRG.16289	2969	23.26	15.55	11.66	5.07	-1.20565965	0.010122013	0.605116269
Bank1	1406.45	0.44	1.04	0.9	3.6	1.344686732	0.010437349	0.622059623
Ank3	2767.59	1.37	0.93	0.3	0.14	-1.405013425	0.010522696	0.62523424
Coro2b	3610	0.44	0.63	0.18	0.09	-1.713233055	0.0106445	0.628638342
Hoxc8	2095.95	0.5	0.47	0.17	0.11	-1.70947665	0.0106445	0.628638342
Shroom2	3499.43	0.47	0.72	0.46	0.18	-1.315656518	0.010732985	0.631949096
Gm26603	2861	0.55	0.23	0.07	0.16	-1.654478084	0.010925162	0.639400864
Krtap7-1	621	0	1.59	5.1	0.19	1.611340836	0.010925162	0.639400864
MSTRG.2839	603.86	3.29	2.11	0.48	0.76	-1.874560634	0.011035138	0.64119343
Ccl4	660	3.28	3.84	10.89	6.56	1.315179513	0.011054512	0.64119343
Gjb2	2406	0.03	0.05	0.38	0.07	2.490539978	0.011153193	0.64119343
Tmem229a	5157	0.02	0.01	0.12	0.07	2.476660123	0.011153193	0.64119343
Gm6311	878	0	0.25	0.24	1.09	2.453997796	0.011153193	0.64119343
Cyp2j12	1675	0.62	0.04	0.15	0	-2.10120547	0.011153193	0.64119343
Fndc1	5845	0.5	0.55	0.17	0.11	-1.396717517	0.011280255	0.643930218
Gm8883	596.45	0.12	0.81	1.9	2.21	2.119438959	0.01129992	0.643930218
8030451A03Rik	1361.77	1.21	0.24	0.1	0.03	-1.988878987	0.01129992	0.643930218
Cmbl	786.5	0.4	0.67	1.45	1.1	1.572333773	0.011550966	0.655996819
Gm38104	1895	0.94	0.37	0.06	0.32	-1.643980483	0.011578988	0.655996819
Gm807	1723	3.13	4.66	1.79	1.44	-1.253249596	0.011707625	0.661306069
MSTRG.9786	1589	0.57	0.26	1.16	1.13	1.503596592	0.011740566	0.661306069
A830036E02Rik	2270.13	0.37	0.18	0.1	0.04	-1.820763701	0.012050335	0.675892403
Gm29361	2000	0.57	0.86	0.23	0.25	-1.498804087	0.012068888	0.675892403
Zc3h12c	6764	5.62	5.07	2.69	1.97	-1.177605816	0.012310342	0.687439148
Igkc	532	72.96	18.58	154.46	46.97	1.177082321	0.012567616	0.699800784
Gm30873	1222	0.73	0.36	1.8	1.2	1.502748781	0.012749042	0.704065352
Gzma	884.17	25.58	11.69	34.91	44.88	1.176364931	0.012809923	0.704065352
Ces1d	1231.03	18.19	12.97	9.69	1.13	-1.195653148	0.012932396	0.704065352
Tchh	5823	0	0.49	0.92	0.33	1.2854087	0.01293284	0.704065352
Gm43412	2818	0.43	0.22	0.16	0.03	-1.777270693	0.012984942	0.704065352
MSTRG.9549	1213	0	0.21	0.23	0.77	2.249452319	0.013005466	0.704065352
Gstp-ps	631	0.22	0.21	0.2	2.19	2.239927092	0.013005466	0.704065352
1810062O18Rik	517.38	0.75	0.1	1.35	0.92	2.207596833	0.013005466	0.704065352
Gm29675	5348	0.11	0.1	0.04	0.01	-2.001337764	0.013005466	0.704065352
Slc4a1	1194.2	0.01	0.38	0.03	0.03	-1.998750068	0.013005466	0.704065352
Efcab8	3047.54	0.35	0.28	0.12	0.14	-1.58978634	0.013627946	0.735720339
Gm26704	2901	0.08	0.06	0.34	0.17	1.850661331	0.013809972	0.743345196
Klhdc7a	7807	0.2	0.03	0.03	0.04	-1.607528847	0.013845467	0.743345196
Grpr	2523	2.79	2.1	1.3	0.75	-1.227878658	0.014026912	0.750660474
Pcdhga6	4733	0.93	0.37	0.35	0.17	-1.280242192	0.014136985	0.750660474
Ttc16	3232.18	0.28	0.06	0	0.02	-2.864250238	0.014328375	0.750660474
Asphd1	1647	0.39	0.2	0.04	0.03	-2.85857926	0.014328375	0.750660474
Cd209g	2294	0.06	0.05	0.29	0.38	2.549508724	0.014328375	0.750660474
Gm9027	661	0	0.2	0.18	1.22	2.539101867	0.014328375	0.750660474
Gm12960	1066	0	0.1	0.41	0.38	2.463707345	0.014328375	0.750660474
4930515G13Rik	492	1.53	1.19	0.18	0.29	-2.332951829	0.014328375	0.750660474
Fjx1	3134	0.06	0.17	0.02	0.03	-2.329376192	0.014328375	0.750660474
Gm42686	4108	0.79	0.53	0.31	0.21	-1.310490317	0.01485887	0.759139218
MSTRG.27926	418	27.88	23.3	16.58	4.7	-1.237476924	0.014862861	0.759139218
Rdh9	1276	0.08	0.08	0.4	0.23	1.74862462	0.014882849	0.759139218
MSTRG.20072	502.03	1.37	0.2	2.63	2.25	1.741540997	0.014882849	0.759139218
Asphd2	668	0.19	0.02	0.37	0.08	2.41953706	0.015148992	0.759139218
4930534D22Rik	2715	0.07	0	0.29	0.08	2.41825719	0.015148992	0.759139218
Gm2030	1129	0.12	0.06	0.51	0.47	2.404045037	0.015148992	0.759139218
Bmp7	3670	0	0.04	0.05	0.19	2.391105293	0.015148992	0.759139218
Sh2d4b	3086	0.31	0.09	0.07	0.04	-2.029022324	0.015148992	0.759139218
Gm43825	734	1.23	0.61	0.28	0.15	-2.02400824	0.015148992	0.759139218
Gm21698	666	0.64	0.85	0.25	0.48	-1.354165048	0.01552638	0.759139218
Lrrc34	1891	0.2	0.12	0	0.02	-3.321917979	0.015541924	0.759139218
Greb1	2730.58	0.04	0.2	0	0.01	-3.320935045	0.015541924	0.759139218
Adtrp	519.05	0.58	0.76	0	0.13	-3.318969828	0.015541924	0.759139218
Zfp109	1935	0.18	0.09	0.03	0	-3.316910938	0.015541924	0.759139218
MSTRG.17926	382	1.14	2.38	0.31	0	-3.313962788	0.015541924	0.759139218
Nupr1l	628	0.18	0.84	0.03	0	-3.312980505	0.015541924	0.759139218
Mirt2	1297	0	0.05	0.58	0.05	3.027944378	0.015541924	0.759139218
Pnmal2	4147	0	0.01	0.13	0.01	3.027944378	0.015541924	0.759139218
Gm36757	3556	0.02	0	0.12	0.03	3.019925928	0.015541924	0.759139218
Gm9918	2192	0	0.03	0.14	0.12	3.011410458	0.015541924	0.759139218
MSTRG.16583	247	1.78	0	8.4	6.53	3.010010891	0.015541924	0.759139218
4933438A12Rik	1013	0	0.07	0.29	0.34	3.008109046	0.015541924	0.759139218
Gm20659	604	0.08	0	0.63	0.69	3.006709478	0.015541924	0.759139218
Gm42879	2214	0.03	0	0.09	0.15	3.00340989	0.015541924	0.759139218
Scarna13	275	1.09	0	3.49	5.49	3.00340989	0.015541924	0.759139218
Plet1os	1119	0	0.09	0.16	0.44	3.001511708	0.015541924	0.759139218
MSTRG.26383	2559	0.52	0.65	1.84	0.98	1.257759198	0.015759011	0.766564792
Gm42675	4035	0.19	0.15	0.34	0.51	1.398618113	0.015802472	0.766564792
4930579C12Rik	3676	0.64	0.5	0.16	0.26	-1.362022503	0.015818593	0.766564792
Gm47327	262	33.35	5.04	0.79	9.35	-1.639429617	0.015851281	0.766564792
Gad2	5744	0.26	0.18	0.12	0.04	-1.496663904	0.015921267	0.76675106
Col12a1	3481.5	6.78	5.8	5.62	2.53	-1.131782172	0.015950193	0.76675106
Gng3	1699	1	0.42	0.29	0.18	-1.549467092	0.016046226	0.76675106
Klra13-ps	657.24	0	0.76	1.93	0.9	1.92824319	0.016051846	0.76675106
MSTRG.19183	604	2.12	1.38	0.5	0.4	-1.868017147	0.016051846	0.76675106
Ch25h	1350	8.17	7.81	16.66	17.49	1.139545044	0.01614507	0.769318516
Slc22a23	5120.1	3.38	4.79	2.06	1.48	-1.13568211	0.016585385	0.788372121
Ccbe1	5304	0.19	0.36	0.06	0.07	-1.539181845	0.016672112	0.790566396
Gm6545	1786	0.21	0.13	0.68	0.36	1.59424448	0.016727146	0.791250844
Slc40a1	3370	0.25	1.06	0.99	0.71	1.282026728	0.016788363	0.792223733
MSTRG.5164	339	1.16	1.12	2.68	5.7	2.132160088	0.017221812	0.808481539
Gm45873	1915	0.36	0.24	0.08	0.07	-1.933365307	0.017221812	0.808481539
Olfr1039	4103.76	0.08	0.02	0.21	0.14	1.799118207	0.017298825	0.808481539
Casq2	2434	0.66	0.3	0.26	0.11	-1.758299467	0.017298825	0.808481539
Tmem252	2462	1.32	2.4	0.8	0.78	-1.216558014	0.01745298	0.813024089
Wfdc13	1074	1.66	0.48	0.49	0.18	-1.637295216	0.017521172	0.813024089
Ppp1r14a	950	0.47	1.99	0.13	0.65	-1.588060891	0.017521172	0.813024089
Trmt112-ps2	378	0	19	7.54	0	-1.436692126	0.017714394	0.820037583
Cers3	3250	0.13	0.23	0.02	0.04	-2.15230408	0.017832742	0.823559962
Gm48764	3666	5.91	3.55	3.12	1.2	-1.124215087	0.017989264	0.828824513
Krt12	1852	0.69	0.46	0.17	0.21	-1.528286441	0.01824287	0.838526627
Gm26508	1516	0.33	0	0.88	0.26	1.710780599	0.018395167	0.841557294
Gm48778	558	2.92	1.54	0.23	1.02	-1.602926492	0.018395167	0.841557294
Sorbs1	1633.8	7.69	20.05	6.75	6.81	-1.116824221	0.018665675	0.851595539
Gm3608	2858	0.16	0.18	0.54	0.39	1.445093539	0.018761758	0.851595539
Kcne4	2657	0.32	0.77	0.32	0.19	-1.392537877	0.018761758	0.851595539
Tet2	5725.54	15.24	11.06	7.48	3.61	-1.096423648	0.018858437	0.851595539
Slitrk6	4240	0.46	0.05	0.17	0	-1.586926041	0.01890059	0.851595539
Axin2	3853.22	0.91	0.24	0.14	0.07	-1.507389663	0.01890059	0.851595539
Itga5	3620.86	44.76	44.1	23.15	16.21	-1.092464398	0.018920461	0.851595539
Gm10775	1203	0.9	0.26	0.1	0.2	-1.87153943	0.018966031	0.851679687
Gm3417	712	2.82	2.86	1.66	0.45	-1.44805603	0.019198985	0.859781154
Abhd15	2662	0.74	0.87	0.26	0.36	-1.317262326	0.019246402	0.859781154
Pex5l	2835.17	0.05	0.11	0.14	0.46	1.633043168	0.019362418	0.859781154
Il10	1310	0.36	0.09	1.07	0.35	1.630552481	0.019362418	0.859781154
Fmo2	3496.73	50.79	27.57	32.45	3.27	-1.089350828	0.019367024	0.859781154
Gm43694	1119	4.83	0.73	1.38	0.86	-1.252206764	0.01964257	0.870031931
Pcdh10	6314.03	1.31	1.79	0.55	0.58	-1.170215194	0.01975962	0.873231843
Gm7347	2995	0.37	0.62	0.26	0.12	-1.352371048	0.01999167	0.881487932
Tnni2	593.6	5.94	4.47	5.69	13.56	1.19989465	0.020205813	0.888918925
Synb	4055	0	0.08	0.18	0.11	1.821942021	0.02043824	0.894697067
7330423F06Rik	301	7.74	3.95	1.24	1.47	-1.941568851	0.020621499	0.894697067
Mt4	398	2.4	2.78	0.84	0.45	-1.9348927	0.020621499	0.894697067
Srgap1	7787	0.19	0.34	0.14	0.03	-1.340169488	0.020690421	0.894697067
Gm12758	4175	0.92	0.45	0.43	0.15	-1.23125158	0.020695519	0.894697067
Ighg2c	1111	0.89	0.47	2.38	1.08	1.354096881	0.021009371	0.894697067
4930426I24Rik	868.41	0.76	0.56	0	0.1	-2.748611699	0.021071679	0.894697067
B3gnt4	1423	0.14	0.37	0.06	0	-2.734437413	0.021071679	0.894697067
Trbv16	398	0	0.62	0.28	3.13	2.445596271	0.021071679	0.894697067
Hist2h2bb	381	0	0.81	2.97	1.06	2.376853658	0.021071679	0.894697067
MSTRG.1010	538	0.18	0.17	1.36	0.61	2.372405094	0.021071679	0.894697067
5430402O13Rik	940	0.08	0.08	0.56	0.32	2.369293727	0.021071679	0.894697067
1810006J02Rik	958.04	0.08	0	0.45	0.66	2.364846372	0.021071679	0.894697067
Gm1123	1537	0.04	0.04	0.18	0.26	2.359966317	0.021071679	0.894697067
Dnah7c	12207	0	0	0.01	0.03	2.353753753	0.021071679	0.894697067
Gck	1817	0	0.34	0	0.39	2.345779836	0.021071679	0.894697067
MSTRG.18140	916	24.08	22.36	14.56	7.03	-1.093263113	0.021509916	0.911319019
Ighd	1676.54	0.21	0.09	0.56	0.34	1.754371631	0.021686697	0.916815705
MSTRG.26374	2257	1.56	0.15	0.5	0.17	-1.327885559	0.02186315	0.922274741
MSTRG.29241	513	12.33	14.93	7.99	3.8	-1.165456353	0.022232913	0.933359818
Pappa	11027	0.09	0.09	0.01	0.05	-1.488388049	0.022269604	0.933359818
Slc35d3	2630	0.56	0.25	0.1	0.17	-1.483279081	0.022269604	0.933359818
Cybrd1	5339	0.35	0.19	0.15	0.05	-1.384937113	0.022564697	0.942900668
4930563E22Rik	2569.86	0.09	0.05	0.36	0.12	1.671212086	0.022751102	0.942900668
Adamts15	5928	0.05	0.19	0.05	0.03	-1.660152754	0.022751102	0.942900668
Serpinb7	1887	0.81	0.4	1.58	1.2	1.249178502	0.022762868	0.942900668
Lipk	2083	0.06	0.05	0.22	0.26	2.077297655	0.022840904	0.942900668
Rpl17-ps3	556	0	0.59	0	2.56	2.057044764	0.022840904	0.942900668
Lrfn1	3060	0.25	0.09	0.24	0.01	-1.850137691	0.022840904	0.942900668
Pygm	2770.66	1.13	0.76	1.02	0.43	-1.32978356	0.022884295	0.942900668
Gm47840	2280	0.46	0.3	1.09	0.74	1.297547611	0.023013367	0.946218361
Scarna10	325	1.26	9.83	4.29	22.96	1.365684386	0.023182545	0.951167604
Gm15287	751	20.15	10.16	9.37	4.4	-1.106471517	0.023414042	0.957706173
Hoxd10	1816	0.21	0.7	0.32	0	-1.617153134	0.023663643	0.957706173
Tubg2	1754	0.26	0.07	0	0.02	-3.174956058	0.024373865	0.957706173
4930417H01Rik	635.17	0.74	0.1	0.05	0	-3.169949018	0.024373865	0.957706173
Gm47857	3879	0.09	0.04	0.01	0	-3.168932034	0.024373865	0.957706173
Gm17039	4901	0.06	0.05	0.01	0	-3.167915314	0.024373865	0.957706173
Gm48145	329	2.64	2.13	0.27	0.04	-3.167915314	0.024373865	0.957706173
AF529169	7202	0.03	0.04	0.02	0	-3.166898858	0.024373865	0.957706173
Gm38381	2275	0.11	0.12	0.02	0	-3.166898858	0.024373865	0.957706173
Stx19	2812	0.04	0.14	0.02	0	-3.16486674	0.024373865	0.957706173
Gm44618	2262	0.03	0	0.23	0.02	2.902759116	0.024373865	0.957706173
Gm13966	832	0	0.11	0.63	0.19	2.897327441	0.024373865	0.957706173
Efhc2	2554	0.02	0	0.16	0.05	2.895927873	0.024373865	0.957706173
Gm6733	1920	0.03	0	0.22	0.07	2.895927873	0.024373865	0.957706173
Gm14009	656	0.13	0	0.44	0.62	2.882292021	0.024373865	0.957706173
MSTRG.14910	287	0.92	0	2.96	4.08	2.882292021	0.024373865	0.957706173
Gm14968	769	0.1	0	0.26	0.56	2.878888692	0.024373865	0.957706173
CT009718.2	544	0	0.17	0.3	1.07	2.876887213	0.024373865	0.957706173
Gm6988	375	0	0.35	0.64	2.32	2.876887213	0.024373865	0.957706173
Aire	2966	0	0.02	0.05	0.21	2.873488464	0.024373865	0.957706173
Pcdha4	4129	0.02	0	0	0.1	2.868692457	0.024373865	0.957706173
Gm43549	2661	4.26	6.54	4.15	1.08	-1.077353494	0.024564136	0.958716137
MSTRG.15992	541	6.69	13.82	6.17	3.05	-1.161055526	0.024803183	0.958716137
MSTRG.28608	2523	0.82	2.54	1.6	5.28	1.090709319	0.02509634	0.958716137
Gm45223	5138	0.25	0.1	0.08	0.05	-1.49197858	0.025132043	0.958716137
Gm44763	2019	0.37	0.06	0.05	0.02	-2.437450398	0.025137459	0.958716137
Gm37152	1175	0.53	0.27	0.1	0.04	-2.434845615	0.025137459	0.958716137
Gm16325	1709	0.08	0.17	0.02	0.03	-2.052933071	0.025137459	0.958716137
Uox	514.1	0.79	0.65	0.12	0.17	-2.052019462	0.025137459	0.958716137
Gm10605	3198	0.13	0.12	0.12	0.03	-2.051151464	0.025137459	0.958716137
Gm48478	2325	0.19	0.17	0.04	0.04	-2.051151464	0.025137459	0.958716137
MSTRG.21525	340	5.22	1.83	1.06	0.35	-2.049361998	0.025137459	0.958716137
Gm37726	3886	0.14	0.07	0.04	0.01	-2.048493824	0.025137459	0.958716137
MSTRG.15444	647	0.41	1.81	0.26	0.18	-2.047680355	0.025137459	0.958716137
Lmntd1	2624.48	0.21	0.19	0.1	0.02	-2.046757739	0.025137459	0.958716137
Gm15421	399	1.77	2.16	0.76	0.26	-2.045889829	0.025137459	0.958716137
MSTRG.20	18562	1.57	15.26	25.25	10.53	1.038919564	0.025286312	0.962509639
Gm9910	1550	3.13	1.06	1.07	0.71	-1.179215163	0.025439378	0.966448422
A430093F15Rik	1125.8	2.76	0.27	0.49	0.25	-1.442418049	0.025725867	0.973858441
Clcn1	1299.34	1.38	0.51	0.19	0.21	-1.311195101	0.025734368	0.973858441
MSTRG.28091	1116	0.69	0.58	1.77	1.4	1.348153518	0.025977021	0.979116684
Zfp457	1164.32	2.2	1.15	0.56	0.91	-1.31852077	0.025977021	0.979116684
Gm26637	2289	0.43	0.15	0.13	0.04	-1.738315004	0.026045846	0.979116684
MSTRG.2099	1892	1.94	0.85	3.46	2.44	1.11892318	0.026074276	0.979116684
Spint2	1248.4	0.79	0.36	1.67	1.09	1.305982037	0.026201574	0.980758786
Spry1	2451	0.98	1.82	0.89	0.39	-1.147044234	0.026218653	0.980758786
Wisp2	1719	0.5	0.89	0.46	0.13	-1.407776229	0.026702517	0.996945136
